MaBL,MaNV,MaLCB,MaPC,MaKT,MaGL,Thang,TongLuong,NgayTinhLuong,TrangThai,SoNgayLam
BL278,NV078,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL279,NV079,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL280,NV080,LCB003,PC001,KT003,GL002,2026-03,16917375,2026-03-31,Đã Tính,26
BL281,NV081,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL282,NV082,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL283,NV083,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL284,NV084,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL285,NV085,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL286,NV086,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL287,NV087,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL288,NV088,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL289,NV089,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL290,NV090,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL291,NV091,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL292,NV092,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL293,NV093,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL294,NV094,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL295,NV095,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL296,NV096,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL297,NV097,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL298,NV098,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL299,NV099,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL300,NV100,LCB001,PC001,KT004,GL002,2026-03,11434500,2026-03-31,Đã Tính,26
BL301,NV001,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL302,NV002,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL303,NV003,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL304,NV004,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL305,NV005,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL306,NV006,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL307,NV007,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL308,NV008,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL309,NV009,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL310,NV010,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL311,NV011,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL312,NV012,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL313,NV013,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL314,NV014,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL315,NV015,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL316,NV016,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL317,NV017,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL318,NV018,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL319,NV019,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL320,NV020,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL321,NV021,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL322,NV022,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL323,NV023,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL324,NV024,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL325,NV025,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL326,NV026,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL327,NV027,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL328,NV028,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL329,NV029,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL330,NV030,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL331,NV031,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL332,NV032,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL333,NV033,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL334,NV034,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL335,NV035,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL336,NV036,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL337,NV037,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL338,NV038,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL339,NV039,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL340,NV040,LCB001,PC001,KT001,GL002,2026-04,10395000,2026-04-30,Đã Tính,26
BL341,NV041,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL342,NV042,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL343,NV043,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL344,NV044,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL345,NV045,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL346,NV046,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL347,NV047,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL348,NV048,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL349,NV049,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL350,NV050,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL351,NV051,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL352,NV052,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL353,NV053,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL354,NV054,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL355,NV055,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL356,NV056,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL357,NV057,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL358,NV058,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL359,NV059,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL360,NV060,LCB002,PC001,KT002,GL002,2026-04,12696000,2026-04-30,Đã Tính,26
BL361,NV061,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL362,NV062,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL363,NV063,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL364,NV064,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL365,NV065,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL366,NV066,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL367,NV067,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL368,NV068,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL369,NV069,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL370,NV070,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL371,NV071,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL372,NV072,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL373,NV073,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL374,NV074,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL375,NV075,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL376,NV076,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL377,NV077,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL378,NV078,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL379,NV079,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL380,NV080,LCB003,PC001,KT003,GL002,2026-04,16917375,2026-04-30,Đã Tính,26
BL381,NV081,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL382,NV082,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL383,NV083,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL384,NV084,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL385,NV085,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL386,NV086,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL387,NV087,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL388,NV088,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL389,NV089,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL390,NV090,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL391,NV091,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL392,NV092,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL393,NV093,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL394,NV094,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL395,NV095,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL396,NV096,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL397,NV097,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL398,NV098,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL399,NV099,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL400,NV100,LCB001,PC001,KT004,GL002,2026-04,11434500,2026-04-30,Đã Tính,26
BL401,NV001,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL402,NV002,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL403,NV003,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL404,NV004,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL405,NV005,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL406,NV006,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL407,NV007,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL408,NV008,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL409,NV009,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL410,NV010,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL411,NV011,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL412,NV012,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL413,NV013,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL414,NV014,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL415,NV015,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL416,NV016,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL417,NV017,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL418,NV018,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL419,NV019,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL420,NV020,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL421,NV021,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL422,NV022,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL423,NV023,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL424,NV024,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL425,NV025,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL426,NV026,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL427,NV027,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL428,NV028,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL429,NV029,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL430,NV030,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL431,NV031,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL432,NV032,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL433,NV033,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL434,NV034,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL435,NV035,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL436,NV036,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL437,NV037,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL438,NV038,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL439,NV039,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL440,NV040,LCB001,PC001,KT001,GL002,2026-05,10395000,2026-05-31,Đã Tính,26
BL441,NV041,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL442,NV042,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL443,NV043,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL444,NV044,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL445,NV045,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL446,NV046,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL447,NV047,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL448,NV048,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL449,NV049,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL450,NV050,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL451,NV051,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL452,NV052,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL453,NV053,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL454,NV054,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL455,NV055,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL456,NV056,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL457,NV057,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL458,NV058,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL459,NV059,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL460,NV060,LCB002,PC001,KT002,GL002,2026-05,12696000,2026-05-31,Đã Tính,26
BL461,NV061,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL462,NV062,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL463,NV063,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL464,NV064,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL465,NV065,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL466,NV066,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL467,NV067,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL468,NV068,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL469,NV069,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL470,NV070,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL471,NV071,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL472,NV072,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL473,NV073,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL474,NV074,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL475,NV075,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL476,NV076,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL477,NV077,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL478,NV078,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL479,NV079,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL480,NV080,LCB003,PC001,KT003,GL002,2026-05,16917375,2026-05-31,Đã Tính,26
BL481,NV081,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL482,NV082,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL483,NV083,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL484,NV084,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL485,NV085,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL486,NV086,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL487,NV087,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL488,NV088,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL489,NV089,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL490,NV090,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL491,NV091,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL492,NV092,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL493,NV093,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL494,NV094,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL495,NV095,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL496,NV096,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL497,NV097,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL498,NV098,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL499,NV099,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL500,NV100,LCB001,PC001,KT004,GL002,2026-05,11434500,2026-05-31,Đã Tính,26
BL501,NV001,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL502,NV002,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL503,NV003,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL504,NV004,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL505,NV005,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL506,NV006,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL507,NV007,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL508,NV008,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL509,NV009,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL510,NV010,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL511,NV011,LCB003,PC001,KT003,GL002,2026-06,16917375,2026-06-30,Đã Tính,26
BL512,NV012,LCB003,PC001,KT003,GL002,2026-06,16917375,2026-06-30,Đã Tính,26
BL513,NV013,LCB003,PC001,KT003,GL002,2026-06,16917375,2026-06-30,Đã Tính,26
BL514,NV014,LCB003,PC001,KT003,GL002,2026-06,16917375,2026-06-30,Đã Tính,26
BL515,NV015,LCB003,PC001,KT003,GL002,2026-06,16917375,2026-06-30,Đã Tính,26
BL516,NV016,LCB001,PC001,KT004,GL002,2026-06,11434500,2026-06-30,Đã Tính,26
BL517,NV017,LCB001,PC001,KT004,GL002,2026-06,11434500,2026-06-30,Đã Tính,26
BL518,NV018,LCB001,PC001,KT004,GL002,2026-06,11434500,2026-06-30,Đã Tính,26
BL519,NV019,LCB001,PC001,KT004,GL002,2026-06,11434500,2026-06-30,Đã Tính,26
BL520,NV020,LCB001,PC001,KT004,GL002,2026-06,11434500,2026-06-30,Đã Tính,26
BL521,NV021,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL522,NV022,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL523,NV023,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL524,NV024,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL525,NV025,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL526,NV026,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL527,NV027,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL528,NV028,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL529,NV029,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL530,NV030,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL531,NV031,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL532,NV032,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL533,NV033,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL534,NV034,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL535,NV035,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL536,NV036,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL537,NV037,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL538,NV038,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL539,NV039,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL540,NV040,LCB001,PC001,KT001,GL002,2026-06,10395000,2026-06-30,Đã Tính,26
BL541,NV041,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL542,NV042,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL543,NV043,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL544,NV044,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL545,NV045,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL546,NV046,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL547,NV047,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL548,NV048,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL549,NV049,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL550,NV050,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL551,NV051,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL552,NV052,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL553,NV053,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL554,NV054,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
BL555,NV055,LCB002,PC001,KT002,GL002,2026-06,12696000,2026-06-30,Đã Tính,26
